StudentID,Quiz1,Quiz2,Test1,Assignment1,SpecialEvent1,Quiz3,Quiz4,Test2,Assignment2,Quiz5,Quiz6,Test3,Assignment3,SpecialEvent2,Final
26,13,23,83,71,P,10,15,87,53,12,13,87,74,F,294
27,18,23,84,43,P,19,14,95,57,25,19,75,74,P,243
28,15,10,99,40,F,14,24,86,54,24,15,100,49,P,216
29,12,16,74,52,P,17,17,61,62,13,14,90,53,P,286
30,14,17,73,65,P,14,18,73,63,20,14,65,62,P,287
31,12,14,80,66,F,15,11,65,54,16,22,70,44,P,229
32,15,10,97,55,F,20,10,90,40,23,16,86,41,P,250
33,17,10,96,66,P,23,13,63,55,10,12,80,73,P,212
34,21,20,97,66,P,13,13,99,54,22,25,97,44,F,231
35,15,13,82,57,P,16,13,83,64,24,15,67,42,F,200
36,18,18,83,52,P,16,17,62,63,22,21,61,52,F,207
37,23,17,89,46,P,13,18,86,73,23,16,76,50,P,233
38,22,24,80,56,P,12,12,63,49,23,25,71,53,F,217
39,17,11,82,70,P,17,14,96,71,12,10,61,67,F,271
40,18,19,89,46,F,25,22,75,73,15,18,82,40,P,268
41,10,20,92,58,P,19,15,87,65,21,18,62,40,P,289
42,20,20,98,59,P,20,17,72,47,10,13,87,47,P,283
43,25,25,62,61,P,22,25,62,62,16,17,60,74,P,253
44,20,23,60,56,P,25,14,84,66,10,10,66,69,F,275
45,13,24,95,43,P,24,11,86,62,14,18,91,43,F,217
46,14,13,97,56,P,15,19,68,43,13,11,94,64,F,268
47,10,22,71,58,F,14,10,75,70,18,24,98,65,P,239
48,15,12,94,48,F,20,23,80,49,21,13,62,47,F,248
49,12,19,61,59,F,23,23,95,47,10,11,75,68,F,278
50,13,15,75,59,P,16,16,73,63,21,15,75,75,P,232
