StudentID,Quiz1,Quiz2,Test1,Assignment1,SpecialEvent1,Quiz3,Quiz4,Test2,Assignment2,Quiz5,Quiz6,Test3,Assignment3,SpecialEvent2,Final
51,21,25,67,75,P,11,15,73,65,13,12,82,45,P,288
52,12,24,70,68,F,18,18,72,63,10,10,64,54,P,232
53,24,10,70,52,F,20,23,72,49,25,10,69,47,F,290
54,24,22,69,55,F,14,16,71,47,20,11,60,63,F,249
55,17,25,100,57,P,23,14,78,65,13,16,76,73,P,270
56,21,10,90,68,P,14,10,77,65,20,16,94,47,P,219
57,25,14,63,43,P,20,12,86,45,24,21,86,45,P,298
58,13,10,96,69,P,11,13,66,60,12,14,97,48,P,219
59,14,19,61,73,P,12,13,62,62,17,21,80,73,F,274
60,10,19,61,58,P,20,15,73,50,20,24,67,40,F,256
61,13,22,100,44,F,24,22,80,53,10,16,74,50,P,204
62,20,20,79,45,F,21,14,91,73,21,12,95,58,F,264
63,10,20,79,47,P,16,14,60,66,11,10,78,51,P,271
64,12,18,83,54,P,16,14,93,73,17,20,90,41,P,219
65,20,15,78,63,P,10,15,97,53,25,23,83,49,P,207
66,15,10,61,51,F,24,11,67,41,14,19,67,69,P,200
67,19,16,88,40,P,13,19,81,69,22,17,94,57,P,284
68,25,19,93,75,F,18,19,88,63,13,23,83,49,P,237
69,25,19,99,51,P,23,15,79,65,24,21,60,64,F,203
70,18,22,71,56,P,24,11,100,67,15,20,64,45,P,272
71,17,12,80,51,P,19,22,79,42,12,17,100,43,P,211
72,20,15,79,49,P,16,25,100,65,21,10,95,56,P,218
73,22,24,85,52,P,19,18,66,55,24,11,91,57,F,256
74,11,12,91,59,P,12,22,75,56,14,10,78,46,P,244
75,15,13,76,73,F,16,15,69,58,11,22,67,68,P,269
